,episode,locations
73,GAG293,"[('Togo', 1.0199765, 8.7800265), ('Westafrika', 9.609507, 52.746658), ('Europa', 10.0, 51.0), ('Deutschland', 10.4478313, 51.1638175)]"
74,GAG292,"[('Schweiz', 8.2319736, 46.7985624), ('Schweiz', 8.2319736, 46.7985624)]"
75,GAG291,"[('Afrika.', 17.7578122, 11.5024338), ('Horn von', -67.2890335, -55.9789712), ('Italien', 12.674297, 42.6384261), ('Eritrea', 37.9999668, 15.9500319), ('Äthiopien', 38.6521203, 10.2116702), ('Addis Abeba', 38.7612525, 9.0107934), ('Rastafari', -1.5497683, 47.2095581)]"
76,GAG290,"[('Frankreich', 1.8883335, 46.603354), ('Großbritannien', -1.9180234948012402, 54.31536155), ('Großbritanniens', 12.50154043735413, 41.90823145)]"
77,GAG289,"[('Jerusalem', 35.21198075969497, 31.79592425), ('Saladins', 3.3860472, 46.5563902), ('Jerusalem', 35.21198075969497, 31.79592425), ('Venedig', 12.3345898, 45.4371908), ('San Marco.', 12.334024740406221, 45.43482885)]"
78,Extra,"[('Währing', 16.321605699999996, 48.234115), ('Wien', 16.3725042, 48.2083537)]"
79,GAG288,"[('Geschehens', 10.5677982, 47.9952098), ('Rom', 12.4829321, 41.8933203), ('Roms', 16.3665155, 50.4108421), ('Rom', 12.4829321, 41.8933203)]"
80,GAG287,"[('Deutschland.', 10.4478313, 51.1638175)]"
81,GAG285,"[('New Yorker', -83.01419306965731, 39.97729635), ('Little Italy', -73.9982152, 40.7192728), ('New York', -74.0060152, 40.7127281), ('New Yorker', -83.01419306965731, 39.97729635), ('Sizilien', 14.155048, 37.587794), ('Palermo', 13.3524434, 38.1112268)]"
82,GAG283,"[('USA', -100.445882, 39.7837304)]"
83,GAG282,"[('Geschehens', 10.5677982, 47.9952098), ('Königreich', 9.7404344, 53.5307358)]"
84,GAG281,"[('Spaniens', 18.0982343, 59.3263641)]"
85,GAG279,"[('New York', -74.0060152, 40.7127281), ('Indonesien', 117.8902853, -2.4833826), ('Banda-Inseln', -15.4166406, 27.9082627), ('Niederländer', 7.1423605, 49.1981861), ('Manhattan', -73.9598939, 40.7896239), ('Muskat-Insel', 58.5985294, 23.6214548), ('Nieuw Amsterdam', -74.0060152, 40.7127281), ('USA', -100.445882, 39.7837304)]"
86,GAG278,"[('Griechenland', 21.9877132, 38.9953683)]"
87,GAG277,"[('USA', -100.445882, 39.7837304), ('Wilmington', -75.546589, 39.7459468), ('North Carolina', -79.0392919, 35.6729639), ('North Carolina', -79.0392919, 35.6729639), ('US-Präsident', 14.233027, 50.826944), ('Wilmington', -75.546589, 39.7459468)]"
88,GAG276,"[('Stadt', 8.2146017, 53.1389753), ('Oxford', -1.2578499, 51.7520131)]"
89,GAG275,"[('Paris', 2.3200410217200766, 48.8588897), ('Eiffelturm', 2.2944990543196795, 48.858260200000004), ('Aussicht.', 13.922166, 50.783333), ('Eiffelturm', 2.2944990543196795, 48.858260200000004), ('US-Präsidenten', 18.55179, 54.4082983)]"
90,GAG272,"[('Europa', 10.0, 51.0), ('Na', 17.3231107, -23.2335499)]"
91,GAG271,"[('Stadt.', 8.2146017, 53.1389753), ('Hanswurst', 15.291916, 50.467027)]"
92,GAG269,"[('Hamburg', 10.000654, 53.550341), ('Bolivien', -64.9912286, -17.0568696), ('Hamburg', 10.000654, 53.550341), ('Guevaras', -64.0042564, 10.9561658), ('Europa', 10.0, 51.0)]"
93,GAG268,"[('Battle Creek', -85.1824269, 42.3192548), ('US', -100.445882, 39.7837304), ('Bruder', 14.157055, 50.800722)]"
94,GAG267,"[('Rom', 12.4829321, 41.8933203)]"
95,GAG266,"[('England', -1.2649062, 52.5310214), ('Normandie', 0.3138532, 49.0677708), ('England', -1.2649062, 52.5310214), ('Engländer', 9.3120119, 50.056127)]"
96,GAG265,"[('Neapel', 14.2487679, 40.8358846), ('den USA', -104.68536732610298, 39.8606676)]"
97,GAG264,"[('Koreas', 127.6961188, 36.638392), ('Koreas', 127.6961188, 36.638392)]"
98,Krankenbetten und Dauerbäder,"[('Monika', 14.3688013, 50.8326854)]"
99,GAG262,"[('Geschehens', 10.5677982, 47.9952098), ('New York City', -74.0060152, 40.7127281)]"
100,GAG261,"[('London', -0.1276474, 51.5073219)]"
101,GAG260,"[('Hameln', 9.3561569, 52.1039941), ('Deutschlands', 13.667225793245475, 54.559670350000005)]"
102,GAG259,"[('Huelva', -6.9484945, 37.2575874)]"
103,GAG258,"[('USA', -100.445882, 39.7837304)]"
104,GAG257,"[('Südamerika', -61.0006565, -21.0002179), ('Berlin', 13.3888599, 52.5170365)]"
105,GAG256,"[('Schweiz', 8.2319736, 46.7985624), ('der Schweiz', 10.1776692, 50.4314453)]"
106,GAG255,"[('Japan', 139.2394179, 36.5748441)]"
107,GAG254,"[('Brasilien', -53.2, -10.3333333), ('Hevea', 20.6678001, -0.1717871), ('London', -0.1276474, 51.5073219)]"
108,GAG253,"[('Europa', 10.0, 51.0), ('Spanien', -4.8379791, 39.3260685), ('Portugal', -8.1353519, 39.6621648), ('England', -1.2649062, 52.5310214)]"
109,GAG252,"[('USA', -100.445882, 39.7837304)]"
110,GAG251,"[('Wien', 16.3725042, 48.2083537), ('Europa', 10.0, 51.0)]"
111,GAG249,"[('Mekka', 39.826869, 21.420847)]"
112,GAG248,"[('Erde', 5.4980051, 51.6034376), ('Indien', 78.6677428, 22.3511148)]"
113,GAG247,"[('Geschehens', 10.5677982, 47.9952098)]"
114,GAG246,"[('Frankreich', 1.8883335, 46.603354), ('Louisiana', -92.007126, 30.8703881)]"
115,GAG245,"[('Nord-', 3.0883523694464854, 50.52896715), ('Südkorea', 127.6961188, 36.638392)]"
116,GAG244,"[('Italien', 12.674297, 42.6384261)]"
117,GAG243,"[('Irland', -7.9794599, 52.865196)]"
118,GAG242,"[('Stockholm', 18.0710935, 59.3251172)]"
119,GAG241,"[('Osnabrück', 8.047635, 52.2719595), ('Münster', 7.6251879, 51.9625101), ('Prag', 14.4212535, 50.0874654), ('Stadt', 8.2146017, 53.1389753), ('Prag', 14.4212535, 50.0874654)]"
120,GAG240,"[('Nancy', 6.1834097, 48.6937223)]"
121,GAG239,"[('Zabern', 7.3625953, 48.7419909), ('Elsass', 7.4074699518555, 48.24917645)]"
122,GAG238,"[('Mäusen', -76.995521, 38.48065)]"
123,GAG237,"[('Paris', 2.3200410217200766, 48.8588897), ('Landes', -0.6433872354467377, 44.00996945)]"
124,GAG236,"[('Atlantic City.', -74.4229351, 39.3642852)]"
125,GAG235,"[('Schweiz', 8.2319736, 46.7985624)]"
126,GAG234,"[('Russland', 97.7453061, 64.6863136), ('Russland', 97.7453061, 64.6863136), ('Frankreich', 1.8883335, 46.603354), ('Krasnaja', 25.25886, 53.63148)]"
127,GAG233,"[('San Francisco', -122.419906, 37.7790262)]"
128,GAG231,"[('USA', -100.445882, 39.7837304)]"
129,GAG230,"[('Tansania', 35.7878438, -6.5247123), ('Berlin', 13.3888599, 52.5170365)]"
130,GAG229,"[('Ungarns', 10.70708, 59.9158083), ('Báthory', 17.7617687, 48.719068)]"
131,GAG228,"[('Berlin', 13.3888599, 52.5170365), ('Florentiner', 11.5826563, 48.161033), ('Berliner Blau', 9.75002, 52.4285637)]"
132,GAG227,"[('Baltimore', -76.610759, 39.2908816)]"
133,GAG226,"[('See', 10.4666667, 47.0833333), ('Java', 109.6139109880134, -7.327969400000001), ('Australien', 134.755, -24.7761086)]"
134,GAG225,"[('Frankreich', 1.8883335, 46.603354)]"
135,GAG224,"[('Spanien', -4.8379791, 39.3260685), ('Amerikas', 21.03560377182088, 56.1444738), ('Atlantik', 2.223095, 6.540829)]"
136,GAG223,"[('Japan', 139.2394179, 36.5748441)]"
137,GAG221,"[('Brasilien', -53.2, -10.3333333), ('Brasiliens', 18.0473911, 59.3315769)]"
138,GAG220,"[('New York', -74.0060152, 40.7127281)]"
139,GAG219,"[('Deutschland', 10.4478313, 51.1638175)]"
140,GAG218,"[('Florenz', 11.2555757, 43.7698712), ('Medici.', 14.2263427, 41.2102717), ('Medici', 14.2263427, 41.2102717), ('Florenz', 11.2555757, 43.7698712), ('Italien', 12.674297, 42.6384261)]"
141,GAG217,"[('Wien', 16.3725042, 48.2083537)]"
142,GAG216,"[('St. Helena', -5.7129442, -15.9694573), ('Frankreich', 1.8883335, 46.603354), ('Rom', 12.4829321, 41.8933203), ('Europa', 10.0, 51.0), ('Wien', 16.3725042, 48.2083537), ('Kapuzinergruft', 16.3701652, 48.2057727), ('Wien.', 16.3725042, 48.2083537)]"
143,GAG214,"[('USA', -100.445882, 39.7837304), ('Washington', -77.0365427, 38.8950368), ('Wien', 16.3725042, 48.2083537)]"
144,GAG213,"[('Schottland', -4.1140518, 56.7861112)]"
145,GAG211,"[('Geschehens', 10.5677982, 47.9952098)]"
146,GAG210,"[('Niederlande', 5.6343227, 52.2434979), ('Niederlande', 5.6343227, 52.2434979), ('Nazi-Deutschland', 11.1126843, 49.4339695)]"
147,GAG209,"[('Italien', 12.674297, 42.6384261)]"
148,GAG207,"[('USA', -100.445882, 39.7837304), ('Protagonist', 144.9687994, -37.8214252), ('dran', 57.4240144, 30.5475401)]"
149,GAG205,"[('Schloss Itter', 12.139489260110931, 47.47044245), ('Tirol', 11.5261028, 47.223193), ('Europa', 10.0, 51.0), ('Schloss', 12.0106659, 50.9298311), ('Frankreichs', 12.499366, 41.909354), ('US-Soldaten', 6.6643205, 53.5893585)]"
150,GAG204,"[('England', -1.2649062, 52.5310214), (""Regent's Park"", -0.1538974609013864, 51.530202450000004), ('England', -1.2649062, 52.5310214)]"
151,GAG203,"[('Südtiroler', 16.3737346, 48.1862627), ('Italien', 12.674297, 42.6384261), ('Portland', -122.674194, 45.5202471)]"
152,GAG202,"[('Österreich', 14.12456, 47.59397)]"
153,GAG199,"[('Helgoland', 7.885362101180695, 54.18004525), ('Großbritannien', -1.9180234948012402, 54.31536155)]"
154,GAG198,"[('Ukraine.', 31.2718321, 49.4871968)]"
