episode,locations
GAG199,"[('Helgoland', 7.885362101180695, 54.18004525), ('Großbritannien', -1.9180234948012402, 54.31536155)]"
GAG198,"[('Ukraine.', 31.2718321, 49.4871968)]"
GAG197,"[('Finnland', 25.9209164, 63.2467777)]"
GAG196,"[('Nord-', 3.0883523694464854, 50.52896715), ('Südamerika', -61.0006565, -21.0002179), ('Karibisches Meer', -75.0000001, 15.0000001), ('Pazifik', 8.1353594, 53.5979139)]"
GAG195,"[('Wien', 16.3725042, 48.2083537), ('Johannesburg', 28.049722, -26.205), ('Hamburg', 10.000654, 53.550341), ('KZ Sachsenhausen', 13.2429962, 52.775687), ('Panama', -81.1308434, 8.559559)]"
GAG194,"[('Nordamerikas', 12.4113744, 51.3028882), ('Mississippi.', -89.7348497, 32.9715285), ('Frankreich', 1.8883335, 46.603354), ('Louisiana', -92.007126, 30.8703881), ('Frankreich', 1.8883335, 46.603354), ('Natchez', -91.403171, 31.5604076)]"
GAG193,"[('Vorarlberg', 9.9166667, 47.25), ('Vorarlberger', 9.7451629, 47.4936833), ('Schweiz', 8.2319736, 46.7985624), ('Vorarlberg', 9.9166667, 47.25), ('Übrig', 8.5589933, 47.9944021)]"
GAG191,"[('Großbritannien', -1.9180234948012402, 54.31536155), ('England', -1.2649062, 52.5310214), ('Norweger', 7.8252956, 52.7528584), ('Englands', -1.8595357657235332, 51.7039725), ('England', -1.2649062, 52.5310214)]"
GAG190,"[('Iran', 54.5643516, 32.6475314), ('Syrien', 39.0494106, 34.6401861)]"
GAG189,"[('Karthago', 10.3309924, 36.8548083), ('Rom', 12.4829321, 41.8933203), ('Römern', 8.68308814142365, 50.1106694), ('Römer', 8.6816587, 50.1104684)]"
GAG188,"[('USA', -100.445882, 39.7837304)]"
GAG186,"[('Rochdale', -2.1557561, 53.6153659), ('Deutschland', 10.4478313, 51.1638175)]"
GAG185,"[('USA', -100.445882, 39.7837304), ('USA', -100.445882, 39.7837304), ('New York City', -74.0060152, 40.7127281), ('Lower', 32.6060423, 0.3132141), ('Chinatown', -73.9962504, 40.7164913), ('Little Italy', -73.9982152, 40.7192728)]"
GAG184,"[('Leonberg', 9.0150026, 48.8012983), ('Herzogtum Württemberg', 9.1725179, 48.7554548), ('Württemberg', 9.0994058, 48.3366504)]"
GAG183,"[('Agrippina', 49.1233281, 55.7898555), ('Agrippina', 49.1233281, 55.7898555)]"
GAG182,"[('den USA', -104.68536732610298, 39.8606676), ('Staaten', 142.90409694877354, -16.587403549999998), ('Deutschland', 10.4478313, 51.1638175), ('Deutschland', 10.4478313, 51.1638175)]"
GAG180,"[('Sueskanal', 32.3331003, 30.6052767), ('Kanal', 13.6339298, 46.0858687), ('Sueskanal', 32.3331003, 30.6052767)]"
